,Name,categories,Address,format_address,reviews,rating,city,country,lat,lng,price,postal,state
51,Vapor Haus,Vape Shops,1722 E Kensington Rd,1722 E Kensington Rd,8.0,4.5,Mount Prospect,US,42.0812273049898,-87.9065415674591,$$,60056,IL
52,Zee Vapor and Tobacco,Tobacco Shops,651 N Wolf Rd,651 N Wolf Rd,7.0,4.5,Des Plaines,US,42.0649967,-87.9078186,$$$,60016,IL
53,Vortex Vapes & Smoke Shop,Vape Shops,3490 Milwaukee Ave,3490 Milwaukee Ave,10.0,3.5,Northbrook,US,42.0896779,-87.8731346,$$,60062,IL
54,Wise Guys Vapes  - Des Plaines,Vape Shops,580 E Oakton St,580 E Oakton St,15.0,3.0,Des Plaines,US,42.023807,-87.909641,$$,60018,IL
55,TAO Electronics,Vape Store,329 W 18th St Ste 603,329 W 18th St Ste 603,,,Chicago,US,41.85747970985945,-87.63678073883057,,60616,IL
56,Hive Vape Shop,Vape Store,4710 147th St,4710 147th St (Cicero Ave),,,Midlothian,US,41.625994,-87.73563299999999,,60445,IL
57,cignot,Vape Store,64 E Lake St,64 E Lake St,,,Addison,US,41.93187,-87.986595,,60101,IL
58,Smoke & Vape,Vape Store,8526 W Golf Rd,8526 W Golf Rd (Milwaukee Avenue),,,Niles,US,42.05672,-87.83799,,60714,IL
59,Swift Tobacco,Vape Store,5220 W Diversey Ave,5220 W Diversey Ave,,,Chicago,US,41.931578,-87.757234,,60639,IL
60,Ivape Bar,Vape Store,261 N York St,261 N York St,,,Elmhurst,US,41.905086,-87.939584,,60126,IL
61,Chi-Town Vapers,Smoke Shop,501 Frontier Way,501 Frontier Way (ellis),,,Bensenville,US,41.990021,-87.949504,,60106,IL
62,Wise Guys Vapes Glen Ellyn,Vape Store,805 N Main St,805 N Main St (elm st),,,Glen Ellyn,US,41.88901,-88.06355,,60137,IL
63,Zee Vapor & Tobacco,Vape Store,17W610 14th St,17W610 14th St,,,Oakbrook Terrace,US,41.85734176635742,-87.97412109375,,60181,IL
64,Smoke 219,Vape Store,7451 Indianapolis Blvd,7451 Indianapolis Blvd,,,Hammond,US,41.5776666,-87.4804969,,46324,IN
